GRBs ID,Redshift,μ,σ μ,"Ep,i (keV)","σ E p,i",Eiso (1052 erg),σ E iso
060 218,0.03351,35.1195,0.933638,4.9,0.3,0.00535399,0.000259064
060 614,0.12500,38.6856,1.846710,55.0,45.0,0.21677400,0.086709700
030 329,0.17000,38.4667,1.035640,100.0,23.0,1.47701000,0.260648000
020 903,0.25000,39.9357,1.384430,3.4,1.8,0.00244119,0.000610299
130 427A,0.33990,40.6749,0.956160,1250.0,150.0,77.01340000,7.876370000
011 121,0.36000,42.9717,1.070330,1060.0,275.0,7.97042000,2.189680000
020 819B,0.41000,40.8059,1.103200,70.0,21.0,0.69332400,0.175525000
101 213A,0.41400,42.8313,1.216190,440.0,180.0,2.72107000,0.526658000
990 712,0.43400,41.5047,0.985045,93.0,15.0,0.68519200,0.131768000
010 921,0.45000,41.8452,1.003600,129.0,26.0,0.96689400,0.096689400
091 127,0.49000,39.7308,0.946699,51.0,5.0,1.64622000,0.176066000
081 007,0.52950,42.6995,1.038250,61.0,15.0,0.17632300,0.017632300
090 618,0.54000,39.9036,0.925708,250.4,4.5,28.59120000,0.523898000
100 621A,0.54200,41.4047,0.975989,146.0,23.0,2.82246000,0.352807000
060 729,0.54300,42.2564,1.323760,77.0,38.0,0.42338400,0.088204900
090 424,0.54400,42.0376,0.927353,250.0,3.3,4.06569000,0.352833000
101 219B,0.55000,42.5063,0.951189,108.0,12.0,0.62641300,0.061759000
050 525A,0.60600,41.6888,0.940851,129.0,6.5,2.29843000,0.486207000
110 106B,0.61800,43.7538,1.076680,194.0,56.0,0.73403300,0.070750200
050 416A,0.65280,41.8718,1.008940,22.0,4.5,0.10625000,0.017708300
111 209A,0.67700,43.7533,0.983363,520.0,89.0,5.13951000,0.620285000
080 916A,0.68900,43.8680,0.932250,208.0,11.0,0.97511400,0.088646700
020 405,0.69000,42.2854,0.928094,354.0,10.0,10.63790000,0.886495000
970 228,0.69500,43.1984,1.115820,195.0,64.0,1.64915000,0.124129000
991 208,0.70600,41.2777,0.945272,313.0,31.0,22.97200000,1.862600000
111 228A,0.71600,40.4242,0.954840,58.0,7.0,2.75042000,0.266170000
041 006,0.71600,41.2868,1.018810,98.0,20.0,3.10531000,0.887233000
090 328,0.73600,44.3930,0.930500,1157.9,55.6,14.18060000,0.997201000
030 528,0.78000,40.8528,0.974974,57.0,9.0,2.22246000,0.266695000
051 022,0.80000,42.3122,1.131230,754.0,258.0,56.03940000,5.337090000
